date,noncomm_short,noncomm_long,open_interest_all,net
1999-03-23,6404,29659,76062,23255
1999-03-30,6971,32303,78567,25332
1999-04-06,11537,33420,79770,21883
1999-04-13,20163,31968,84956,11805
1999-04-20,9356,30840,83096,21484
1999-04-27,8545,31972,82409,23427
1999-05-04,3425,35807,76614,32382
1999-05-11,2136,40591,82022,38455
1999-05-18,1768,39323,81269,37555
1999-05-25,2781,29275,74250,26494
1999-06-01,8868,26831,76488,17963
1999-06-08,15520,26609,82171,11089
1999-06-15,13138,27625,76482,14487
1999-06-22,15528,27561,79866,12033
1999-06-29,9507,29679,78443,20172
1999-07-06,3343,35687,81775,32344
1999-07-13,3193,35368,81007,32175
1999-07-20,6865,29595,74994,22730
1999-07-27,5174,30824,74673,25650
1999-08-03,3035,44995,86060,41960
1999-08-10,2721,51159,94386,48438
1999-08-17,2666,44582,86799,41916
1999-08-24,3888,38351,83534,34463
1999-08-31,7463,34083,73844,26620
1999-09-07,8430,33765,72739,25335
1999-09-14,9341,34187,74979,24846
1999-09-21,8370,39471,79137,31101
1999-09-28,5020,49826,89783,44806
1999-10-05,4758,49990,92737,45232
1999-10-12,3134,53320,95551,50186
1999-10-19,2571,37266,80320,34695
1999-10-26,4787,33033,77899,28246
1999-11-02,6711,34051,79536,27340
1999-11-09,16595,32436,86458,15841
1999-11-16,14121,32714,81061,18593
1999-11-23,7137,33429,76209,26292
1999-11-30,7834,32267,71574,24433
1999-12-07,8771,31749,69769,22978
1999-12-14,8514,30943,69789,22429
1999-12-21,6574,32542,69062,25968
1999-12-28,6583,32641,70000,26058
2000-01-04,5045,39893,76093,34848
2000-01-11,5710,35479,73157,29769
2000-01-18,11157,35224,76432,24067
2000-01-25,6602,39143,76786,32541
2000-02-01,4252,43190,80659,38938
2000-02-08,3169,47362,85895,44193
2000-02-15,1977,42619,81169,40642
2000-02-22,1647,42051,79929,40404
2000-02-29,10480,34389,74070,23909
2000-03-07,15727,33524,74416,17797
2000-03-14,17849,34517,74268,16668
2000-03-21,16256,33727,74137,17471
2000-03-28,18283,34467,78683,16184
2000-04-04,16585,30926,73613,14341
2000-04-11,12629,30727,71464,18098
2000-04-18,11727,31313,76728,19586
2000-04-25,20141,31410,82551,11269
2000-05-02,20428,32221,72673,11793
2000-05-09,16209,32293,73478,16084
2000-05-16,15284,31607,72016,16323
2000-05-23,20124,32657,75631,12533
2000-05-30,29087,34271,81362,5184
2000-06-06,15286,31425,76294,16139
2000-06-13,14351,29290,75159,14939
2000-06-20,13305,30096,72499,16791
2000-06-27,20721,29502,78737,8781
2000-07-05,17104,30461,74024,13357
2000-07-11,19423,31211,74345,11788
2000-07-18,17737,29087,72072,11350
2000-07-25,21725,30622,76902,8897
2000-08-01,19767,29482,78268,9715
2000-08-08,25104,31969,89533,6865
2000-08-15,30884,33832,96284,2948
2000-08-22,32983,34195,98698,1212
2000-08-29,30678,33377,87766,2699
2000-09-05,24432,32041,74290,7609
2000-09-12,23985,33240,72522,9255
2000-09-19,25741,32520,73625,6779
2000-09-26,25470,32378,73351,6908
2000-10-03,23114,31772,72365,8658
2000-10-10,23592,32440,74915,8848
2000-10-17,26971,34715,78490,7744
2000-10-24,32451,35485,82093,3034
2000-10-31,34750,34460,84841,-290
2000-11-07,35563,35551,86546,-12
2000-11-14,34630,30920,84208,-3710
2000-11-21,32437,30617,81382,-1820
2000-11-28,31370,33049,79683,1679
2000-12-05,32716,33964,73515,1248
2000-12-12,32456,34400,75097,1944
2000-12-19,32841,32047,73261,-794
2000-12-26,32812,32052,72291,-760
2001-01-02,34097,31882,73255,-2215
2001-01-09,32916,32187,72565,-729
2001-01-16,29244,30853,69210,1609
2001-01-23,19164,30964,66720,11800
2001-01-30,15969,31132,66478,15163
2001-02-06,15848,32995,66339,17147
2001-02-13,23093,29528,72095,6435
2001-02-20,28215,29426,76826,1211
2001-02-27,29560,29767,83021,207
2001-03-06,31729,29431,74339,-2298
2001-03-13,30709,29642,73038,-1067
2001-03-20,31153,29711,75015,-1442
2001-03-27,27852,30362,73258,2510
2001-04-03,29593,30745,75281,1152
2001-04-10,28350,30576,75305,2226
2001-04-17,25483,28102,70392,2619
2001-04-24,22094,28649,67640,6555
2001-05-01,24793,28896,64781,4103
2001-05-08,28452,29074,66853,622
2001-05-15,31045,29584,69410,-1461
2001-05-22,21052,32379,67973,11327
2001-05-29,17202,32809,68464,15607
2001-06-05,19097,30503,66439,11406
2001-06-12,21891,29066,68826,7175
2001-06-19,18974,28507,65308,9533
2001-06-26,23029,29153,70494,6124
2001-07-03,27618,31180,69074,3562
2001-07-10,31096,31663,73531,567
2001-07-17,34106,31520,77428,-2586
2001-07-24,33840,31863,76722,-1977
2001-07-31,34126,32373,77616,-1753
2001-08-07,33801,32451,78056,-1350
2001-08-14,31783,31157,75207,-626
2001-08-21,29985,32955,74613,2970
2001-08-28,29872,33344,73714,3472
2001-09-04,31365,32968,72547,1603
2001-09-10,31498,32728,70825,1230
2001-09-18,25205,34064,63592,8859
2001-09-25,9577,33697,63127,24120
2001-10-02,7436,37429,65473,29993
2001-10-09,9004,43743,71215,34739
2001-10-16,6696,37952,65557,31256
2001-10-23,8503,31598,65520,23095
2001-10-30,11847,30473,67416,18626
2001-11-06,21983,31175,73175,9192
2001-11-13,25081,31920,73671,6839
2001-11-20,27499,31532,75468,4033
2001-11-27,30166,31589,72849,1423
2001-12-04,29303,32356,71351,3053
2001-12-11,24919,32823,67829,7904
2001-12-18,19016,32107,65704,13091
2001-12-21,13840,31808,63848,17968
2001-12-28,8990,32058,63260,23068
2002-01-08,5115,37728,67412,32613
2002-01-15,4674,40882,71748,36208
2002-01-22,3600,36636,67577,33036
2002-01-29,3833,32428,65182,28595
2002-02-05,5491,30712,66014,25221
2002-02-12,4253,30777,64702,26524
2002-02-19,4405,32533,68018,28128
2002-02-26,5217,32327,65009,27110
2002-03-05,3958,35995,66893,32037
2002-03-12,3882,36515,69921,32633
2002-03-19,3600,36681,71778,33081
2002-03-26,4017,38820,74477,34803
2002-04-02,3686,45615,80061,41929
2002-04-09,4532,43572,79026,39040
