date,open_interest_all,net
1992-10-13,70054,11495
1992-10-20,73618,12620
1992-10-27,73045,14143
1992-11-03,73513,15242
1992-11-10,80667,17197
1992-11-17,76501,15019
1992-11-24,75530,15050
1992-12-01,71438,15278
1992-12-08,70866,14583
1992-12-15,71331,13123
1992-12-22,71986,14450
1992-12-29,75202,10191
1993-01-05,77640,8296
1993-01-12,79540,10036
1993-01-19,81358,12017
1993-01-26,80602,16145
1993-02-02,79200,12839
1993-02-09,80481,13074
1993-02-16,83013,15024
1993-02-23,96768,1271
1993-03-02,88353,2759
1993-03-09,88224,2208
1993-03-16,82860,10557
1993-03-23,84475,12236
1993-03-30,92679,27256
1993-04-06,96947,34227
1993-04-13,95518,33172
1993-04-20,98978,32362
1993-04-27,109531,34038
1993-05-04,104252,29894
1993-05-11,104248,29672
1993-05-18,107217,28663
1993-05-25,107080,27268
1993-06-01,107638,23991
1993-06-08,103993,22296
1993-06-15,99004,18823
1993-06-22,101769,18001
1993-06-29,102978,24751
1993-07-06,103506,26909
1993-07-13,108242,30212
1993-07-20,108548,27627
1993-07-27,106962,27924
1993-08-03,114900,29212
1993-08-10,107703,23591
1993-08-17,106813,25263
1993-08-24,108322,24901
1993-08-31,99584,29830
1993-09-07,96390,25779
1993-09-14,95741,25391
1993-09-21,92402,22972
1993-09-28,91233,23711
1993-10-05,90461,23716
1993-10-12,93580,25883
1993-10-19,92657,23704
1993-10-26,96200,24058
1993-11-02,101263,21366
1993-11-09,102013,21975
1993-11-16,101279,24685
1993-11-23,103903,20476
1993-11-30,92806,20572
1993-12-07,107222,26309
1993-12-14,110272,30126
1993-12-21,112332,30933
1993-12-28,114054,32120
1994-01-04,118041,34044
1994-01-11,106964,31204
1994-01-18,111477,35130
1994-01-25,110651,34920
1994-02-01,114278,35770
1994-02-08,119135,38749
1994-02-15,117655,34414
1994-02-22,115482,34238
1994-03-01,107929,37020
1994-03-08,107057,35246
1994-03-15,113823,42649
1994-03-22,116536,43753
1994-03-29,116902,44187
1994-04-05,117410,39841
1994-04-12,113560,35153
1994-04-19,114547,37222
1994-04-26,127858,38099
1994-05-03,120110,42083
1994-05-10,114017,42078
1994-05-17,119947,48597
1994-05-24,130249,55332
1994-05-31,128229,55165
1994-06-07,124445,47059
1994-06-14,124907,47140
1994-06-21,124718,50564
1994-06-28,126877,49817
1994-07-05,121780,53151
1994-07-12,122756,49556
1994-07-19,123282,47527
1994-07-26,119638,46845
1994-08-02,120551,44502
1994-08-09,122383,39870
1994-08-16,121690,34654
1994-08-23,110711,32046
1994-08-30,111767,43639
1994-09-06,108333,48617
1994-09-13,107876,40277
1994-09-20,115191,48781
1994-09-27,119912,51749
1994-10-04,125315,54734
1994-10-11,121787,48432
1994-10-18,113406,37294
1994-10-25,111247,31016
1994-11-01,113989,30332
1994-11-08,115777,28157
1994-11-15,131753,16209
1994-11-22,137656,15102
1994-11-29,140148,12365
1994-12-06,137536,8039
1994-12-13,135027,5201
1994-12-20,131634,7957
1994-12-27,133327,7395
1995-01-03,131937,7863
1995-01-10,133353,6355
1995-01-17,132566,7634
1995-01-24,131736,9045
1995-01-31,135922,6340
1995-02-07,138558,5908
1995-02-14,140848,7307
1995-02-21,140784,7363
1995-02-28,138076,8838
1995-03-07,134360,4646
1995-03-14,131101,6989
1995-03-21,131372,7561
1995-03-28,134153,8928
1995-04-04,130183,15306
1995-04-11,129877,19242
1995-04-18,132264,23023
1995-04-25,125453,24134
1995-05-02,117477,25565
1995-05-09,117829,24394
1995-05-16,109851,17157
1995-05-23,107691,14065
1995-05-30,107938,10984
1995-06-06,108529,8653
1995-06-13,108288,11520
1995-06-20,112393,12577
1995-06-27,105404,13591
1995-07-03,106230,6544
1995-07-11,102370,6107
1995-07-18,99852,9227
1995-07-25,99729,10512
1995-08-01,102987,9483
1995-08-08,108222,10053
1995-08-15,113220,12966
1995-08-22,116078,26225
1995-08-29,115300,27070
1995-09-05,99553,21109
1995-09-12,93479,22790
1995-09-19,96393,25369
1995-09-26,95062,28142
1995-10-03,96978,23004
1995-10-10,98775,20998
1995-10-17,103036,19455
1995-10-24,104749,19430
1995-10-31,106062,21347
1995-11-07,107649,19525
1995-11-14,106133,18699
1995-11-21,103562,17612
1995-11-28,105592,12112
1995-12-05,96034,12835
1995-12-12,95363,11788
1995-12-19,94931,10577
1995-12-26,95095,10496
1996-01-02,96849,13864
1996-01-09,97404,25537
1996-01-16,98602,27952
1996-01-23,100483,28298
1996-01-30,103186,27230
1996-02-06,111001,32194
1996-02-13,114098,30863
1996-02-20,108505,27156
1996-02-27,97767,24110
1996-03-05,87724,19067
1996-03-12,89503,22837
1996-03-19,91666,26363
1996-03-26,98108,32981
1996-04-02,97836,27323
1996-04-09,102885,21883
1996-04-16,105657,12502
1996-04-23,98307,7423
1996-04-30,98613,9178
1996-05-07,97372,13564
1996-05-14,99017,13262
1996-05-21,101303,3807
1996-05-28,100879,4515
1996-06-04,103265,5702
1996-06-11,110039,1968
1996-06-18,114585,187
1996-06-25,111021,2107
1996-07-02,99240,944
1996-07-09,98079,2885
1996-07-16,107865,-769
1996-07-23,112387,-6048
1996-07-30,106664,-2312
1996-08-06,111123,-2463
1996-08-13,109171,-798
1996-08-20,100042,11109
1996-08-27,92819,15930
1996-09-03,88829,16568
1996-09-10,87994,12781
1996-09-17,92555,5911
1996-09-24,98308,-3779
1996-10-01,97749,-464
1996-10-08,97644,-195
1996-10-15,92944,6273
1996-10-22,94098,2499
1996-10-29,97500,480
1996-11-05,96727,-1332
1996-11-12,94736,-1064
1996-11-19,91682,-72
1996-11-26,89184,-1634
1996-12-03,86368,-1273
1996-12-10,84492,1450
1996-12-17,83189,6137
1996-12-24,81991,4305
1996-12-31,84693,310
1997-01-07,89321,-2479
1997-01-14,94028,-1889
1997-01-21,93223,-2245
1997-01-28,89571,10513
1997-02-04,90098,8634
1997-02-11,91079,7241
1997-02-18,99563,24880
1997-02-25,93596,26348
1997-03-04,90813,31398
1997-03-11,89019,29495
1997-03-18,89969,27744
1997-03-25,88713,24456
1997-04-01,93926,18225
1997-04-08,99130,3258
1997-04-15,101823,1564
1997-04-22,98005,-384
1997-04-29,91260,-1728
1997-05-06,86192,149
1997-05-13,85327,3594
1997-05-20,90268,-3755
1997-05-27,89477,-2219
1997-06-03,91915,-2337
1997-06-10,88045,693
1997-06-17,90655,-468
1997-06-24,88950,5500
1997-07-01,93480,-2254
1997-07-08,99053,-7768
1997-07-15,99155,-7387
1997-07-22,94829,-8978
1997-07-29,97777,-10379
1997-08-05,94293,-6698
1997-08-12,92228,-5570
1997-08-19,88932,-2187
1997-08-26,82848,5757
1997-09-02,77184,5453
1997-09-09,77878,7966
1997-09-16,78406,5095
1997-09-23,78039,5957
1997-09-30,95589,32142
1997-10-07,104480,34694
1997-10-14,103011,31636
1997-10-21,99037,26740
1997-10-28,92847,14713
1997-11-04,95965,15410
1997-11-11,94993,17626
1997-11-18,98554,24604
1997-11-25,94257,40443
1997-12-02,89243,40501
1997-12-09,89550,37420
1997-12-16,94552,41731
1997-12-23,98820,42936
1997-12-30,98558,42127
1998-01-06,97490,41481
1998-01-13,92507,37700
1998-01-20,92731,36199
1998-01-27,97404,40299
1998-02-03,106274,46899
1998-02-10,111633,47958
1998-02-17,113004,49196
1998-02-24,102156,46121
1998-03-03,97626,45695
1998-03-10,97317,44868
1998-03-17,90971,34982
1998-03-24,85814,32093
1998-03-31,85986,33907
1998-04-07,87773,36263
1998-04-14,86079,35582
1998-04-21,81336,33556
1998-04-28,77206,33610
1998-05-05,74273,32404
1998-05-12,76225,26536
1998-05-19,82076,16576
1998-05-26,84069,14664
1998-06-02,93121,12441
1998-06-09,94321,14405
1998-06-16,92339,13994
1998-06-23,91947,17502
1998-06-30,79898,18981
1998-07-07,75445,18025
